data_set,algorithm,max_iterations,max_depth,total_cost,average_cost_gain,average_swapped_pairs,average_num_iterations
datasets/hpcDS/cesar_mocfe.txt,mloga,30,1,2.2946e+07,0,0,0
datasets/hpcDS/cesar_mocfe.txt,mloga,30,2,2.2849e+07,0,0,0
datasets/hpcDS/cesar_mocfe.txt,mloga,30,3,2.2339e+07,0,0,0
datasets/hpcDS/cesar_mocfe.txt,mloga,30,4,2.21897e+07,0,0,0
datasets/hpcDS/cesar_mocfe.txt,mloga,30,5,2.21101e+07,0,0,0
datasets/hpcDS/cesar_mocfe.txt,mloga,30,6,2.21175e+07,0,0,0
datasets/hpcDS/cesar_mocfe.txt,mloga,30,7,2.21273e+07,0,0,0
datasets/hpcDS/cesar_mocfe.txt,mloga,30,8,2.2055e+07,0,0,0
datasets/hpcDS/cesar_mocfe.txt,mloga,30,9,2.2055e+07,0,0,0
datasets/hpcDS/cesar_mocfe.txt,mloga,30,10,2.2055e+07,0,0,0
datasets/hpcDS/cesar_mocfe.txt,mloga,30,11,2.2055e+07,0,0,0
datasets/hpcDS/cesar_mocfe.txt,mloga,30,12,2.2055e+07,0,0,0
datasets/hpcDS/cesar_mocfe.txt,mloga,30,13,2.2055e+07,0,0,0
datasets/hpcDS/cesar_mocfe.txt,mloga,30,14,2.2055e+07,0,0,0
datasets/hpcDS/cesar_mocfe.txt,mloga,30,15,2.2055e+07,0,0,0
datasets/hpcDS/cesar_mocfe.txt,mloga,30,16,2.2055e+07,0,0,0
datasets/hpcDS/cesar_mocfe.txt,mloga,30,17,2.2055e+07,0,0,0
datasets/hpcDS/cesar_mocfe.txt,mloga,30,18,2.2055e+07,0,0,0
datasets/hpcDS/cesar_mocfe.txt,mloga,30,19,2.2055e+07,0,0,0
datasets/hpcDS/cesar_mocfe.txt,mloga,30,20,2.2055e+07,0,0,0
datasets/hpcDS/cesar_nekbone.txt,mloga,30,1,2.04216e+07,0,0,0
datasets/hpcDS/cesar_nekbone.txt,mloga,30,2,1.97755e+07,0,0,0
datasets/hpcDS/cesar_nekbone.txt,mloga,30,3,1.90718e+07,0,0,0
datasets/hpcDS/cesar_nekbone.txt,mloga,30,4,1.8613e+07,0,0,0
datasets/hpcDS/cesar_nekbone.txt,mloga,30,5,1.87017e+07,0,0,0
datasets/hpcDS/cesar_nekbone.txt,mloga,30,6,1.87502e+07,0,0,0
datasets/hpcDS/cesar_nekbone.txt,mloga,30,7,1.87709e+07,0,0,0
datasets/hpcDS/cesar_nekbone.txt,mloga,30,8,1.87807e+07,0,0,0
datasets/hpcDS/cesar_nekbone.txt,mloga,30,9,1.87807e+07,0,0,0
datasets/hpcDS/cesar_nekbone.txt,mloga,30,10,1.87807e+07,0,0,0
datasets/hpcDS/cesar_nekbone.txt,mloga,30,11,1.87807e+07,0,0,0
datasets/hpcDS/cesar_nekbone.txt,mloga,30,12,1.87807e+07,0,0,0
datasets/hpcDS/cesar_nekbone.txt,mloga,30,13,1.87807e+07,0,0,0
datasets/hpcDS/cesar_nekbone.txt,mloga,30,14,1.87807e+07,0,0,0
datasets/hpcDS/cesar_nekbone.txt,mloga,30,15,1.87807e+07,0,0,0
datasets/hpcDS/cesar_nekbone.txt,mloga,30,16,1.87807e+07,0,0,0
datasets/hpcDS/cesar_nekbone.txt,mloga,30,17,1.87807e+07,0,0,0
datasets/hpcDS/cesar_nekbone.txt,mloga,30,18,1.87807e+07,0,0,0
datasets/hpcDS/cesar_nekbone.txt,mloga,30,19,1.87807e+07,0,0,0
datasets/hpcDS/cesar_nekbone.txt,mloga,30,20,1.87807e+07,0,0,0
