data_set,algorithm,max_iterations,max_depth,total_cost,average_cost_gain,average_swapped_pairs,average_num_iterations
datasets/p_fabDS/trace_0_8.txt,mloga,30,1,1.63863e+07,0,0,0
datasets/p_fabDS/trace_0_8.txt,mloga,30,2,1.65658e+07,0,0,0
datasets/p_fabDS/trace_0_8.txt,mloga,30,3,1.60943e+07,0,0,0
datasets/p_fabDS/trace_0_8.txt,mloga,30,4,1.62389e+07,0,0,0
datasets/p_fabDS/trace_0_8.txt,mloga,30,5,1.65304e+07,0,0,0
datasets/p_fabDS/trace_0_8.txt,mloga,30,6,1.65304e+07,0,0,0
datasets/p_fabDS/trace_0_8.txt,mloga,30,7,1.65304e+07,0,0,0
datasets/p_fabDS/trace_0_8.txt,mloga,30,8,1.65304e+07,0,0,0
datasets/p_fabDS/trace_0_8.txt,mloga,30,9,1.65304e+07,0,0,0
datasets/p_fabDS/trace_0_8.txt,mloga,30,10,1.65304e+07,0,0,0
datasets/p_fabDS/trace_0_8.txt,mloga,30,11,1.65304e+07,0,0,0
datasets/p_fabDS/trace_0_8.txt,mloga,30,12,1.65304e+07,0,0,0
datasets/p_fabDS/trace_0_8.txt,mloga,30,13,1.65304e+07,0,0,0
datasets/p_fabDS/trace_0_8.txt,mloga,30,14,1.65304e+07,0,0,0
datasets/p_fabDS/trace_0_8.txt,mloga,30,15,1.65304e+07,0,0,0
datasets/p_fabDS/trace_0_8.txt,mloga,30,16,1.65304e+07,0,0,0
datasets/p_fabDS/trace_0_8.txt,mloga,30,17,1.65304e+07,0,0,0
datasets/p_fabDS/trace_0_8.txt,mloga,30,18,1.65304e+07,0,0,0
datasets/p_fabDS/trace_0_8.txt,mloga,30,19,1.65304e+07,0,0,0
datasets/p_fabDS/trace_0_8.txt,mloga,30,20,1.65304e+07,0,0,0
