data_set,algorithm,max_iterations,max_depth,total_cost,average_cost_gain,average_swapped_pairs,average_num_iterations
input/tor/tor_128.txt,mloga,30,1,55021.9,0,0,0
input/tor/tor_128.txt,mloga,30,2,54931.9,0,0,0
input/tor/tor_128.txt,mloga,30,3,53928.4,0,0,0
input/tor/tor_128.txt,mloga,30,4,54030.2,0,0,0
input/tor/tor_128.txt,mloga,30,5,54669.2,0,0,0
input/tor/tor_128.txt,mloga,30,6,54669.2,0,0,0
input/tor/tor_128.txt,mloga,30,7,54669.2,0,0,0
input/tor/tor_128.txt,mloga,30,8,54669.2,0,0,0
input/tor/tor_128.txt,mloga,30,9,54669.2,0,0,0
input/tor/tor_128.txt,mloga,30,10,54669.2,0,0,0
input/tor/tor_128.txt,mloga,30,11,54669.2,0,0,0
input/tor/tor_128.txt,mloga,30,12,54669.2,0,0,0
input/tor/tor_128.txt,mloga,30,13,54669.2,0,0,0
input/tor/tor_128.txt,mloga,30,14,54669.2,0,0,0
input/tor/tor_128.txt,mloga,30,15,54669.2,0,0,0
input/tor/tor_128.txt,mloga,30,16,54669.2,0,0,0
input/tor/tor_128.txt,mloga,30,17,54669.2,0,0,0
input/tor/tor_128.txt,mloga,30,18,54669.2,0,0,0
input/tor/tor_128.txt,mloga,30,19,54669.2,0,0,0
input/tor/tor_128.txt,mloga,30,20,54669.2,0,0,0
input/tor/tor_256.txt,mloga,30,1,45875.2,0,0,0
input/tor/tor_256.txt,mloga,30,2,50091.8,0,0,0
input/tor/tor_256.txt,mloga,30,3,50157,0,0,0
input/tor/tor_256.txt,mloga,30,4,50290.1,0,0,0
input/tor/tor_256.txt,mloga,30,5,49565.3,0,0,0
input/tor/tor_256.txt,mloga,30,6,49588.8,0,0,0
input/tor/tor_256.txt,mloga,30,7,49588.8,0,0,0
input/tor/tor_256.txt,mloga,30,8,49588.8,0,0,0
input/tor/tor_256.txt,mloga,30,9,49588.8,0,0,0
input/tor/tor_256.txt,mloga,30,10,49588.8,0,0,0
input/tor/tor_256.txt,mloga,30,11,49588.8,0,0,0
input/tor/tor_256.txt,mloga,30,12,49588.8,0,0,0
input/tor/tor_256.txt,mloga,30,13,49588.8,0,0,0
input/tor/tor_256.txt,mloga,30,14,49588.8,0,0,0
input/tor/tor_256.txt,mloga,30,15,49588.8,0,0,0
input/tor/tor_256.txt,mloga,30,16,49588.8,0,0,0
input/tor/tor_256.txt,mloga,30,17,49588.8,0,0,0
input/tor/tor_256.txt,mloga,30,18,49588.8,0,0,0
input/tor/tor_256.txt,mloga,30,19,49588.8,0,0,0
input/tor/tor_256.txt,mloga,30,20,49588.8,0,0,0
input/tor/tor_512.txt,mloga,30,1,47500.2,0,0,0
input/tor/tor_512.txt,mloga,30,2,42301.4,0,0,0
input/tor/tor_512.txt,mloga,30,3,46974.2,0,0,0
input/tor/tor_512.txt,mloga,30,4,48827.4,0,0,0
input/tor/tor_512.txt,mloga,30,5,48367.4,0,0,0
input/tor/tor_512.txt,mloga,30,6,48214.1,0,0,0
input/tor/tor_512.txt,mloga,30,7,48249.2,0,0,0
input/tor/tor_512.txt,mloga,30,8,48249.2,0,0,0
input/tor/tor_512.txt,mloga,30,9,48249.2,0,0,0
input/tor/tor_512.txt,mloga,30,10,48249.2,0,0,0
input/tor/tor_512.txt,mloga,30,11,48249.2,0,0,0
input/tor/tor_512.txt,mloga,30,12,48249.2,0,0,0
input/tor/tor_512.txt,mloga,30,13,48249.2,0,0,0
input/tor/tor_512.txt,mloga,30,14,48249.2,0,0,0
input/tor/tor_512.txt,mloga,30,15,48249.2,0,0,0
input/tor/tor_512.txt,mloga,30,16,48249.2,0,0,0
input/tor/tor_512.txt,mloga,30,17,48249.2,0,0,0
input/tor/tor_512.txt,mloga,30,18,48249.2,0,0,0
input/tor/tor_512.txt,mloga,30,19,48249.2,0,0,0
input/tor/tor_512.txt,mloga,30,20,48249.2,0,0,0
input/tor/tor_1024.txt,mloga,30,1,47361.1,0,0,0
input/tor/tor_1024.txt,mloga,30,2,47361.1,0,0,0
input/tor/tor_1024.txt,mloga,30,3,45659.6,0,0,0
input/tor/tor_1024.txt,mloga,30,4,46705.1,0,0,0
input/tor/tor_1024.txt,mloga,30,5,46242.6,0,0,0
input/tor/tor_1024.txt,mloga,30,6,47284.2,0,0,0
input/tor/tor_1024.txt,mloga,30,7,46749.3,0,0,0
input/tor/tor_1024.txt,mloga,30,8,46831,0,0,0
input/tor/tor_1024.txt,mloga,30,9,46831,0,0,0
input/tor/tor_1024.txt,mloga,30,10,46831,0,0,0
input/tor/tor_1024.txt,mloga,30,11,46831,0,0,0
input/tor/tor_1024.txt,mloga,30,12,46831,0,0,0
input/tor/tor_1024.txt,mloga,30,13,46831,0,0,0
input/tor/tor_1024.txt,mloga,30,14,46831,0,0,0
input/tor/tor_1024.txt,mloga,30,15,46831,0,0,0
input/tor/tor_1024.txt,mloga,30,16,46831,0,0,0
input/tor/tor_1024.txt,mloga,30,17,46831,0,0,0
input/tor/tor_1024.txt,mloga,30,18,46831,0,0,0
input/tor/tor_1024.txt,mloga,30,19,46831,0,0,0
input/tor/tor_1024.txt,mloga,30,20,46831,0,0,0
