data_set,algorithm,max_iterations,max_depth,total_cost,average_cost_gain,average_swapped_pairs,average_num_iterations
input/tor/tor_256.txt,mloga,30,1,33636.8,0,0,0
input/tor/tor_256.txt,mloga,30,2,33245.7,0,0,0
input/tor/tor_256.txt,mloga,30,3,32797.3,0,0,0
input/tor/tor_256.txt,mloga,30,4,32758.5,0,0,0
input/tor/tor_256.txt,mloga,30,5,32612.6,0,0,0
input/tor/tor_256.txt,mloga,30,6,30538.1,0,0,0
input/tor/tor_256.txt,mloga,30,7,30538.1,0,0,0
input/tor/tor_256.txt,mloga,30,8,30538.1,0,0,0
input/tor/tor_256.txt,mloga,30,9,30538.1,0,0,0
input/tor/tor_256.txt,mloga,30,10,30538.1,0,0,0
input/tor/tor_256.txt,mloga,30,11,30538.1,0,0,0
input/tor/tor_256.txt,mloga,30,12,30538.1,0,0,0
input/tor/tor_256.txt,mloga,30,13,30538.1,0,0,0
input/tor/tor_256.txt,mloga,30,14,30538.1,0,0,0
input/tor/tor_256.txt,mloga,30,15,30538.1,0,0,0
input/tor/tor_256.txt,mloga,30,16,30538.1,0,0,0
input/tor/tor_256.txt,mloga,30,17,30538.1,0,0,0
input/tor/tor_256.txt,mloga,30,18,30538.1,0,0,0
input/tor/tor_256.txt,mloga,30,19,30538.1,0,0,0
input/tor/tor_256.txt,mloga,30,20,30538.1,0,0,0
